Shrt_Desc,Class,Sugar_Tot_.g.,Iron_.mg.,Cholestrl_.mg.
GELATIN DSSRT/DRY MIX/PREP W/ H2O,3.0,13.49,0.02,0.0
PUDDINGS/CHOC/DRY MIX/INST,3.0,67.86,1.29,0.0
CANDIES/SESAME CRUNCH,3.0,31.17,4.27,0.0
COOKIE CRISP,1.0,34.8,17.3,0.0
ICE CREAMS/FRENCH VANILLA/SOFT-SERVE,3.0,21.16,0.21,91.0
MILLET/PUFFED,1.0,0.55,2.81,0.0
grano bar/ GENER MILLS NATURE VALL/ SWE&SAL NUT/ peanu,2.0,33.14,1.44,0.0
CANDIES/TWIZZLERS NIBS CHERRY BITS,3.0,51.35,0.28,0.0
CANDIES/HERSHEY'S GOLDEN ALMOND SOLITAIRES,3.0,37.13,2.5,13.0
PRETZELS/SOFT,2.0,0.25,3.92,0.0
MALT-O-MEAL/FRSTD FLAKES,1.0,38.04,19.12,0.0
SWT CHOC COATD FONDANT,3.0,71.42,1.56,0.0
MUESLI/DRIED FRUIT & NUTS,1.0,31.0,8.75,0.0
POPCORN/OIL-POPPED/MICROWAVE/REG FLAVOR/NO TRANS FAT,2.0,0.46,1.98,0.0
MALT-O-MEAL/FARINA HOT WHEAT CRL/DRY,1.0,0.7,40.93,0.0
OATS/REG & QUICK/NOT FORT/DRY,1.0,0.99,4.25,0.0
POST/HONEYCOMB CRL,1.0,31.2,8.4,0.0
INST OATMEAL EXPRESS/GOLDEN BROWN SUGAR/DRY,1.0,33.3,6.67,0.0
CANDIES/ CARAMELS/ CHOCOLATE-FLAVOR ROLL,3.0,56.32,0.8,2.0
TSTD MULTIGRAIN CRISPS,1.0,16.34,29.95,0.0
POST GREAT GRAINS BANANA NUT CRUNCH,1.0,18.1,27.5,0.0
KELLOGG'S RICE KRISPIES/GLUTEN FREE,1.0,3.7,30.0,0.0
KASHI SIMPLY MAIZE,1.0,22.1,2.6,0.0
